,indicator,hl_loss,log_cosh_loss,mae_loss,mse_loss,huber_loss,dataset
0,mse,0.0079,0.01281,0.01153,0.01271,0.01238,0
1,HL_value,0.68387,3.26197,2.50448,3.30266,3.20438,0
2,p_val,0.99957,0.91685,0.96152,0.91395,0.92088,0
3,mse,0.00882,0.01029,0.00943,0.01027,0.00957,1
4,HL_value,2.34705,3.40584,2.93848,3.39499,2.95546,1
5,p_val,0.96848,0.90637,0.93815,0.90718,0.93712,1
